threshold,gt_id,pred_id,iou
0.25,3884,150,0.48171808018828277
0.25,3982,198,0.9247890719164323
0.25,3992,139,0.3241826381059752
0.25,4146,59,0.9308441558441558
0.25,5302,52,0.5890578748596509
0.25,5333,38,0.4833212317943023
0.25,5354,81,0.9316699282452707
0.25,5398,102,0.5526049448166177
0.25,5411,105,0.9250725104737351
0.25,5424,112,0.6022817303121534
0.25,5464,134,0.931330121662448
0.25,5542,164,0.9262208499228082
0.25,5598,195,0.4809956836944223
0.25,5878,68,0.925180556682626
0.25,5949,235,0.48356905158069885
0.25,9783,248,0.3053120709684233
0.25,9843,62,0.33511923827271933
0.25,9967,120,0.9213026882157069
0.25,10017,85,0.2822055753407835
0.25,10038,167,0.920863309352518
0.25,10042,170,0.9206753743230328
0.25,10071,159,0.2619731146046935
0.25,11528,232,0.9241006613969995
0.25,11549,245,0.926660140316528
0.25,11571,253,0.3267875838261509
0.25,11636,19,0.6318934327376384
0.25,11868,51,0.45301071442691654
0.25,11988,91,0.32955318666364253
0.25,13731,243,0.34152539839148505
0.25,13773,16,0.32465734068107954
0.25,13788,236,0.4818083423528432
0.25,13922,73,0.4847632639355272
0.25,13942,98,0.3676292084584425
