method,mean_precision,mean_recall,F1@0.25,F1@0.50,F1@0.75,mean_overseg,total_fp,total_fn
Min-tree-core+WS,0.5596921063989119,0.3857492867305563,0.5830661257960214,0.4357656389068247,0.3541108962535768,0.5519016515521057,509,1914
Otsu+WS,0.8401148523755197,0.9613039087750058,0.9300919983830128,0.8946679422386393,0.6857325851183719,1.1554572631801645,607,115
BA-TOS,0.9802364930617424,0.9672702283677256,0.9927070273332786,0.97370508002391,0.7669461339308699,0.986814101995004,39,77
BA-TOS-LS,0.9852143852116536,0.9813127258055626,0.9970620591726512,0.983256693725493,0.7810773326296617,0.9960577445563576,30,41
