threshold,gt_id,pred_id,iou
0.75,8154,18,0.9215204939373651
0.75,8167,25,0.8623814541622761
0.75,8183,29,0.9530854430379747
0.75,8190,31,0.9613908685096718
0.75,8195,39,0.7634020297615342
0.75,8198,44,0.7683779527559055
0.75,8202,47,0.9550277117973079
0.75,8204,49,0.9585242534365619
0.75,8208,45,0.9537029795886447
0.75,8212,40,0.9507511228124516
0.75,8229,53,0.9606931862938165
0.75,8230,46,0.9421221864951769
0.75,8231,48,0.9528346087771358
0.75,8232,51,0.9563261189977503
0.75,8239,52,0.961780396528386
0.75,8243,58,0.9619174225836722
0.75,8251,63,0.8670283982806004
0.75,8253,66,0.963145154993363
0.75,8256,61,0.8492922564529559
0.75,8257,57,0.9557777951402453
0.75,8260,75,0.9603423904507618
0.75,8261,65,0.9524927604288956
0.75,8263,69,0.9581790974245885
0.75,8264,71,0.955708739402583
0.75,8267,73,0.961068463105123
0.75,8272,76,0.9508019740900678
0.75,8273,78,0.9502607612672219
0.75,8274,70,0.9577225736769017
0.75,8275,86,0.9732065001981768
0.75,8279,80,0.963012512788227
0.75,8281,84,0.9611378827918545
0.75,8282,77,0.9564742589703588
0.75,8285,79,0.9645030425963489
0.75,8297,82,0.9607227624224791
0.75,8299,85,0.9523663183773817
0.75,8304,90,0.9616414618777568
0.75,8313,88,0.9435374149659864
0.75,8314,89,0.9651033386327504
0.75,8317,91,0.9590607137339718
0.75,8330,97,0.9646408839779006
0.75,8331,99,0.9551971326164874
0.75,8332,104,0.9595034910783553
0.75,8334,100,0.9569013413762997
0.75,8340,103,0.7585335018963337
0.75,8341,95,0.9647040449789162
0.75,8342,96,0.962403039417445
0.75,8346,98,0.96129185466635
0.75,8349,106,0.7534094415303918
0.75,8357,109,0.9603851875048931
0.75,8359,108,0.9575003935148748
0.75,8364,110,0.9531310925680418
0.75,8367,115,0.8955908032596042
0.75,8370,117,0.952444166796814
0.75,8372,120,0.958617446508347
0.75,8375,116,0.9719596473111447
0.75,8376,118,0.9537275064267352
0.75,8378,122,0.8335951909283421
0.75,8380,127,0.9605129408085074
0.75,8384,123,0.9498255137650252
0.75,8385,124,0.9499065129323777
0.75,8391,125,0.9499691643539933
0.75,8396,128,0.9551317559547361
0.75,8406,129,0.9562038117464022
0.75,8407,136,0.9620233217774976
0.75,8411,137,0.9516004329673728
0.75,8415,130,0.9572689633622373
0.75,8416,133,0.9620963968179691
0.75,8417,143,0.9603045133224578
0.75,8418,134,0.9656813041104438
0.75,8419,131,0.9538949485572832
0.75,8420,132,0.9572622861161029
0.75,8429,146,0.8106207727851068
0.75,8430,144,0.9561843549145634
0.75,8431,145,0.8928049137174613
0.75,8438,142,0.9661381563222055
0.75,8439,138,0.9599683544303798
0.75,8441,149,0.954991752415364
0.75,8447,157,0.9677161579031485
0.75,8448,155,0.7737254153141111
0.75,8449,156,0.9541960784313726
0.75,8450,150,0.9555107735234847
0.75,8455,152,0.9622912838539586
0.75,8460,158,0.9576330805909482
0.75,8462,159,0.9548760459842027
0.75,8465,162,0.9435006234413965
0.75,8466,160,0.9539084397383992
0.75,8473,165,0.952783650458069
0.75,8478,163,0.9557314111102405
0.75,8484,170,0.9482865560552024
0.75,8486,168,0.9586776859504132
0.75,8489,166,0.9483188044831881
0.75,8495,172,0.9659206114013882
0.75,8497,175,0.9708923174805153
0.75,8499,171,0.9635502958579881
0.75,8507,180,0.7887333074030857
0.75,8508,181,0.9541047693510555
0.75,8509,178,0.9559962079317428
0.75,8515,177,0.9536733738886289
0.75,8516,174,0.9559990571226527
0.75,8522,188,0.955252618607517
0.75,8523,183,0.9686911487758946
0.75,8531,184,0.9548483185701968
0.75,8536,189,0.9615232989040448
0.75,8539,190,0.9547299406806119
0.75,8540,191,0.9568333989759747
0.75,8541,200,0.9559669161087042
0.75,8542,198,0.9559019346753348
0.75,8543,202,0.9560465297837458
0.75,8544,199,0.9582972696514281
0.75,8545,195,0.9636648394675019
0.75,8548,203,0.9483571704677233
0.75,8552,196,0.9595895816890292
0.75,8559,204,0.9486317435496482
0.75,8561,207,0.9589356632247815
0.75,8562,206,0.9036510405095164
0.75,8567,201,0.9553903345724907
0.75,8572,209,0.9555326569435637
0.75,8573,205,0.9493183393668644
0.75,8577,216,0.9503129890453834
0.75,8581,212,0.9625941028858218
0.75,8582,217,0.9673630271974774
0.75,8591,215,0.9536673472593058
0.75,8592,211,0.9569377990430622
0.75,8593,214,0.9554095282797466
0.75,8598,213,0.7975268467295802
0.75,8608,220,0.9471403142171658
0.75,8609,225,0.960127591706539
0.75,8612,223,0.9655172413793104
0.75,8616,229,0.9572981366459627
0.75,8618,226,0.9554140127388535
0.75,8619,234,0.95088868101029
0.75,8623,235,0.9539989139709875
0.75,8628,224,0.8578768312157189
0.75,8629,227,0.956826597337115
0.75,8630,228,0.9520341934462562
0.75,8631,230,0.9545740828216029
0.75,8635,233,0.9562841530054644
0.75,8639,239,0.9581127005453253
0.75,8640,238,0.9603763055090488
0.75,8644,236,0.9581887030609025
0.75,8650,242,0.9624766935985084
0.75,8652,246,0.9627458542229078
0.75,8656,244,0.9562858471554798
0.75,8659,248,0.9511894680113943
0.75,8661,251,0.962510829329763
0.75,8665,245,0.95375
0.75,8666,253,0.9505267979844251
0.75,8669,250,0.9531555486040509
0.75,8679,249,0.9549921996879875
0.75,8680,259,0.9549079996841191
0.75,8681,252,0.9543321864247732
0.75,8685,261,0.961737089201878
0.75,8686,263,0.955617846297594
0.75,8689,255,0.951905976958169
0.75,8694,258,0.961635022752236
