method,n_grains,recall_iou050,recall_iou075,mean_best_iou,median_best_iou,mean_centroid_error,median_centroid_error,mean_relative_volume_error,median_relative_volume_error
Min-tree-core+WS,2808,0.3183760683760683,0.2496438746438746,0.4417759544045517,0.3952671367969946,33.68809764124028,25.93065866642194,3.600493263703249,1.3971300345772817
Otsu+WS,2808,0.959045584045584,0.7606837606837606,0.8344182191587198,0.890178439581537,1.428454520737222,0.233387477951155,0.1563600239079925,0.0880036217508874
BA-TOS,2808,0.9725783475783476,0.7927350427350427,0.8570408803625479,0.93074435128214,1.520828217365619,0.0910059732411524,0.1839749425341607,0.051981337168247
BA-TOS-LS,2808,0.9853988603988604,0.8098290598290598,0.8652824293053681,0.9311571850292192,1.330837384523577,0.0902684236790016,0.1612765618704275,0.0510613446204657
BA-TOS-LS-AUTO,2808,0.9896723646723646,0.801994301994302,0.8638052456819374,0.931201249669278,1.3879107641824744,0.0903258519412673,0.1626503912501543,0.0509610414385601
