threshold,gt_id,pred_id,iou
0.75,2167,176,0.8688489668394518
0.75,2187,77,0.8146748856631537
0.75,2191,54,0.7831821929101401
0.75,2201,130,0.8201215484211917
0.75,2210,245,0.877949085693797
0.75,2230,131,0.8838478104809763
0.75,2242,194,0.8896732406666181
0.75,2243,79,0.883596351527436
0.75,2246,193,0.8883424934914665
0.75,2247,112,0.8178374426796039
0.75,2288,125,0.8794435857805255
0.75,2299,178,0.8913185615691972
0.75,2300,6,0.7536231884057971
0.75,2313,82,0.8891236249726816
0.75,2319,81,0.8787221740387395
0.75,2322,160,0.8889612739775606
0.75,2350,220,0.888
0.75,2357,300,0.8711196745878826
0.75,2358,62,0.8892566741023242
0.75,2359,107,0.8820148020406697
0.75,2365,12,0.878843071543057
0.75,2382,181,0.8829378039044924
0.75,2412,64,0.8838466462764065
0.75,2413,49,0.8791868624755842
0.75,2430,198,0.8547462892647566
0.75,2436,221,0.8871772618789325
0.75,2439,42,0.8824375854378013
0.75,2459,43,0.8147011739594451
0.75,2472,35,0.8752049034281234
0.75,2474,135,0.883528900478053
0.75,2495,200,0.8880466472303207
0.75,2499,239,0.8178019499900511
0.75,2506,223,0.8857040743388135
0.75,2634,149,0.8909973201998986
0.75,2660,99,0.7514702278853223
0.75,2661,185,0.8894938198940553
0.75,5262,53,0.7516637909785556
0.75,5263,95,0.8163087831962004
0.75,5275,96,0.8458646616541353
0.75,5283,111,0.7904829545454546
0.75,5303,216,0.8921484037963762
0.75,5322,157,0.8877883016412407
0.75,5328,15,0.8911360981308412
0.75,5351,231,0.8928154205607477
0.75,5383,114,0.8900908697533535
0.75,5389,218,0.890178828958754
0.75,5420,179,0.889797109910962
0.75,5425,159,0.8892211201866977
0.75,5435,106,0.8968225114520468
0.75,5436,161,0.8783852097927349
0.75,5438,148,0.7944982766469403
0.75,5442,162,0.8867579240172755
0.75,5468,180,0.8854567919180173
0.75,5473,132,0.881215073792807
0.75,5501,133,0.8891650826144173
0.75,5514,84,0.8732232591529074
0.75,5526,7,0.8874649002807977
0.75,5556,13,0.8343901274971023
0.75,5562,235,0.8764578833693305
0.75,5570,182,0.8862535252006652
0.75,5587,183,0.8969652650822669
0.75,5588,65,0.8941150891433541
0.75,5635,116,0.8973724434092729
0.75,5876,55,0.8845933971702158
0.75,5877,295,0.803911400844507
0.75,5880,113,0.8784569564600766
0.75,5884,124,0.888470996672935
0.75,5899,47,0.8064494899638038
0.75,5914,83,0.8924018357980622
0.75,5915,22,0.878396886037627
0.75,5926,23,0.8905040862081435
0.75,5927,275,0.8283021646296569
0.75,5936,199,0.8915916352018588
0.75,5943,136,0.8925752703887753
0.75,5945,50,0.8926466254052461
0.75,5953,72,0.8426836713927142
0.75,7749,44,0.8828528932643955
0.75,7754,87,0.8919154499891043
