method,scan,crop_id,n_grains,recall_iou050,recall_iou075,mean_best_iou,median_best_iou,mean_centroid_error,median_centroid_error,mean_relative_volume_error,median_relative_volume_error
BA-TOS-LS-AUTO,EFRGP01_00,crop02,265,0.9886792452830189,0.8716981132075472,0.8976161757143345,0.953948397185301,1.2758911547525666,0.08046138820287824,0.1202197776791628,0.0274582860845618
BA-TOS-LS-AUTO,EFRGP01_00,crop03,216,0.9768518518518519,0.6805555555555556,0.7993336402472224,0.8749516349120892,1.6394060952418943,0.13371579216573642,0.25492039109416204,0.11841506124577911
BA-TOS-LS-AUTO,EFRGP01_00,crop04,272,1.0,0.8713235294117647,0.9000378984351997,0.9549682407480382,1.2528634312342604,0.07537665894636152,0.11369114589815868,0.02748359121258628
BA-TOS-LS-AUTO,EFRGP01_00,crop05,129,0.9534883720930233,0.46511627906976744,0.7361969159166121,0.7267483349191246,2.0156967182263306,1.8346347641005274,0.3615342122595896,0.3322658126501201
BA-TOS-LS-AUTO,EFRGP01_00,crop06,271,0.992619926199262,0.8228782287822878,0.858291326603185,0.9269611576542269,1.3744221333172861,0.09765187707260072,0.16936931317838635,0.05711724924631305
BA-TOS-LS-AUTO,EFRGP01_00,crop07,263,1.0,0.8783269961977186,0.8985787931200729,0.9507151741293532,1.2069979296080402,0.07534890454013385,0.11262630874037124,0.030715046277336393
BA-TOS-LS-AUTO,EFRGP01_01,crop02,262,0.9923664122137404,0.8816793893129771,0.9045133958991559,0.9559019607843138,1.1997332875900062,0.07454007757290576,0.09783016373745962,0.011941370373156618
BA-TOS-LS-AUTO,EFRGP01_01,crop03,213,0.9953051643192489,0.7136150234741784,0.8078684613515121,0.881215073792807,1.6091436424223846,0.14068011116979656,0.23752778044862785,0.10444264943457189
BA-TOS-LS-AUTO,EFRGP01_01,crop04,264,1.0,0.8939393939393939,0.9066918733243465,0.9552214360766734,1.1019543050238998,0.07212847250366414,0.09760902995792554,0.021170890846977063
BA-TOS-LS-AUTO,EFRGP01_01,crop05,128,0.953125,0.46875,0.7291568607418435,0.720506104281522,2.3140522045811034,2.1151579746963427,0.37326135498342833,0.3397140533397498
BA-TOS-LS-AUTO,EFRGP01_01,crop06,265,0.9924528301886792,0.8226415094339623,0.8658101792738974,0.933050269163697,1.3864629260284895,0.08840557493285647,0.15008771047109548,0.043683494679574365
BA-TOS-LS-AUTO,EFRGP01_01,crop07,260,0.9923076923076923,0.8692307692307693,0.9043883544457879,0.9549919760516759,1.1642806091734794,0.07204705795060605,0.10451978529571529,0.021042280652477395
