scan,crop_id,method,n_valid_gt,recall_iou050,recall_iou075,mean_best_iou,median_best_iou,mean_centroid_error,median_centroid_error,mean_relative_volume_error,median_relative_volume_error
EFRGP01_00,crop02,BA-TOS-LS,265,1.0,0.8754716981132076,0.9023294274833099,0.953948397185301,1.1691353058653107,0.08046138820287824,0.10759198169578293,0.0274582860845618
EFRGP01_00,crop03,BA-TOS-LS,216,0.9675925925925926,0.6944444444444444,0.8000647885754586,0.8749516349120892,1.5924143671528492,0.13425899824419135,0.26123553261551424,0.11873623524347474
EFRGP01_00,crop04,BA-TOS-LS,272,0.9963235294117647,0.875,0.8999705875073115,0.9549682407480382,1.2408091285830534,0.07537665894636152,0.11469104751209579,0.02748359121258628
EFRGP01_00,crop05,BA-TOS-LS,129,0.9302325581395349,0.4883720930232558,0.7379187338046407,0.7398916967509025,1.965025452818329,1.7265906396067583,0.3667842185976842,0.3185084637496008
EFRGP01_00,crop06,BA-TOS-LS,271,0.985239852398524,0.8191881918819188,0.8556602749073138,0.9267003676470589,1.4091704003426038,0.09765187707260072,0.1754030977748919,0.05713350249652124
EFRGP01_00,crop07,BA-TOS-LS,263,0.9961977186311787,0.8859315589353612,0.9006742620909852,0.9509047993705744,1.1315430212915707,0.07484337395132169,0.10968973936827589,0.030677290836653385
EFRGP01_01,crop02,BA-TOS-LS,262,0.9961832061068703,0.8969465648854962,0.9104175342113018,0.9559036861518171,1.039546105801538,0.07454007757290576,0.08360699353089428,0.011941370373156618
EFRGP01_01,crop03,BA-TOS-LS,213,0.9812206572769953,0.7370892018779343,0.811811073950081,0.8813767227072661,1.4810878928048188,0.13616065488452375,0.23294450843036704,0.10383874076453582
EFRGP01_01,crop04,BA-TOS-LS,264,0.9924242424242424,0.8939393939393939,0.9050785110594695,0.9552214360766734,1.1273635947345182,0.07212847250366414,0.10308076592192265,0.021170890846977063
EFRGP01_01,crop05,BA-TOS-LS,128,0.953125,0.4921875,0.7361190302912922,0.7370129673797653,2.1208028112066786,2.0547032476857727,0.36073489921289215,0.32463782861341145
EFRGP01_01,crop06,BA-TOS-LS,265,0.9849056603773585,0.8188679245283019,0.8634165454521682,0.9330442451859474,1.4347005244179756,0.08934066434785382,0.1594114224973961,0.043900858577676984
EFRGP01_01,crop07,BA-TOS-LS,260,0.9923076923076923,0.8769230769230769,0.9062403343267722,0.9549919760516759,1.0600941084601454,0.07204705795060605,0.09953244845912818,0.021042280652477395
