threshold,gt_id,pred_id,iou
0.75,13382,146,0.8175255664728294
0.75,13399,121,0.7502937356997094
0.75,13448,28,0.781498588657942
0.75,13466,11,0.8366936880759371
0.75,13471,75,0.8399384916474453
0.75,13478,31,0.8428502046763339
0.75,13499,117,0.844157646405773
0.75,13504,95,0.8382605116949037
0.75,13509,76,0.8432015297411732
0.75,13510,26,0.8368963868588212
0.75,13523,104,0.8454877553781627
0.75,13527,83,0.8404048807542984
0.75,13541,69,0.834925434678029
0.75,13597,106,0.8368784434060953
0.75,13605,54,0.8388148764918124
0.75,13614,96,0.8450877312760292
0.75,13620,147,0.8490860138869208
0.75,13621,5,0.8350180005538632
0.75,13626,150,0.8526985458612976
0.75,13628,80,0.8435618902649968
0.75,13630,102,0.8403332650413167
0.75,13646,107,0.8399138050882803
0.75,13679,131,0.8485732139137679
0.75,13685,39,0.8239823245848955
0.75,13708,50,0.8371705963938973
0.75,13722,49,0.8347443044944594
0.75,13724,51,0.8348913847602394
0.75,20287,143,0.8482651840382855
0.75,20316,70,0.8338800054667214
0.75,20317,119,0.847829092920354
0.75,20318,67,0.8443983402489627
0.75,20364,114,0.8416490341956181
0.75,20372,59,0.8390852680750192
0.75,20375,78,0.838036809815951
0.75,20376,113,0.842956437960223
0.75,20392,125,0.7845725749045492
0.75,20420,68,0.8452290471913217
0.75,20424,120,0.8433335683564831
0.75,20434,115,0.8395963813500348
0.75,20446,71,0.8431332095454233
0.75,20473,127,0.8481083344967193
0.75,20478,81,0.8398197460057354
0.75,20489,25,0.8416972381809372
0.75,20504,128,0.8198076141444248
0.75,20513,52,0.7701291478712229
0.75,20515,60,0.8098299183072184
0.75,20516,138,0.8420871243451888
0.75,20527,89,0.8413047966416627
0.75,20529,139,0.8314360170072692
0.75,20556,90,0.7871583676525645
0.75,20562,53,0.8443117881158227
0.75,20577,65,0.8491494446787572
0.75,20578,61,0.8356758991318727
0.75,20603,140,0.8398003655279066
0.75,20607,155,0.8043261893703139
0.75,20611,74,0.8325600161387936
0.75,22165,13,0.8481875739233284
0.75,22175,134,0.8416031844073846
0.75,22176,109,0.8439098575971243
0.75,22197,97,0.8390670152745286
0.75,22228,118,0.8447863247863248
0.75,22247,86,0.7610445468509984
0.75,22278,111,0.843300687643259
0.75,22288,57,0.8422299651567944
0.75,22289,142,0.8427672955974843
0.75,22291,126,0.7704815117082051
0.75,22318,112,0.8329674852517492
