method,mean_precision,mean_recall,mean_f1,mean_overseg,total_fp,total_fn,n
BA-TOS,0.9154336877173526,0.951513659653779,0.9221571381478496,1.135551783055323,315,123,12
BA-TOS raw/no-size-filter,0.8057351275112675,0.8918654182442803,0.8262224118510552,1.2850948131166635,730,306,12
