method,mean_precision,mean_recall,mean_f1,mean_overseg,total_fp,total_fn,n
Min-tree-core+WS,0.5596921063989119,0.3857492867305563,0.4357656389068248,0.5519016515521057,509,1914,12
Otsu+WS,0.8401148523755197,0.9613039087750058,0.8946679422386393,1.1554572631801643,607,115,12
BA-TOS,0.9802364930617423,0.9672702283677257,0.97370508002391,0.9868141019950039,39,77,12
