method,mean_precision,mean_recall,mean_f1,mean_overseg,total_fp,total_fn,n
Otsu+WS,0.8196724664616024,0.9408360474279625,0.874279326676986,1.1603434989881913,690,180,12
BA-TOS,0.9154336877173526,0.951513659653779,0.9221571381478496,1.135551783055323,315,123,12
