method,threshold,mean_precision,mean_recall,mean_f1,median_f1,std_f1,total_tp,total_fp,total_fn,mean_overseg,n
BA-TOS,0.25,0.9453401076262115,0.9850349871896901,0.9528965067480203,0.9924802465122197,0.1371831958247167,2788,233,41,1.135551783055323,12
BA-TOS,0.5,0.9154336877173526,0.951513659653779,0.9221571381478496,0.9814126394052044,0.14872292831757442,2706,315,123,1.135551783055323,12
BA-TOS,0.75,0.6670912481090245,0.6838121997099554,0.6695948993892779,0.8104089219330854,0.2870107105633781,2000,1021,829,1.135551783055323,12
BA-TOS raw/no-size-filter,0.25,0.8919925512104282,0.9853532110494799,0.9141478708484051,0.9914983526715371,0.18531722359638195,2789,464,40,1.2850948131166635,12
BA-TOS raw/no-size-filter,0.5,0.8057351275112675,0.8918654182442803,0.8262224118510552,0.8677494199535962,0.16925673683177145,2523,730,306,1.2850948131166635,12
BA-TOS raw/no-size-filter,0.75,0.12496856238682054,0.17319584630708665,0.13741873818032121,0.0307101727447216,0.25142663607602705,423,2830,2406,1.2850948131166635,12
Otsu+WS,0.25,0.8687104865956999,1.0,0.9278405127339773,0.9012810357698466,0.046458627294789626,2829,510,0,1.1603434989881913,12
Otsu+WS,0.5,0.8196724664616024,0.9408360474279625,0.874279326676986,0.8573878951237441,0.08862730025321648,2649,690,180,1.1603434989881913,12
Otsu+WS,0.75,0.5835134770832568,0.6732389857728789,0.6240348677282833,0.710256241571001,0.21140359967089323,1943,1396,886,1.1603434989881913,12
