scan,crop_id,n_grains,rec050,rec075,median_iou,mean_iou,median_centroid_error,mean_centroid_error,median_volume_error,mean_volume_error
EFRGP01_00,crop05,129,0.8992248062015504,0.46511627906976744,0.7256028241488661,0.7209189806493854,1.8346347641005276,2.3605873709755745,0.337185042529289,0.4259459180635192
EFRGP01_01,crop05,128,0.9296875,0.46875,0.720506104281522,0.72333350714194,2.1151579746963427,2.451811729852322,0.3397140533397498,0.40164163935526065
EFRGP01_00,crop03,216,0.9629629629629629,0.6759259259259259,0.8749516349120892,0.7949892057939209,0.13425899824419135,1.729812145350292,0.11873623524347471,0.27333899955638363
EFRGP01_01,crop03,213,0.9624413145539906,0.7136150234741784,0.881215073792807,0.8019801492168784,0.1406801111697965,1.7244724773984972,0.1044426494345718,0.2609011263949651
EFRGP01_00,crop06,271,0.974169741697417,0.8044280442804428,0.9267003676470588,0.8480537374559716,0.0987844213632027,1.5743751817058786,0.0571521087994819,0.19952248642660314
EFRGP01_01,crop06,265,0.9773584905660377,0.8113207547169812,0.9330442451859474,0.8583258693221596,0.0893406643478538,1.5182073357678625,0.0439008585776769,0.1762078548774165
EFRGP01_01,crop07,260,0.9769230769230769,0.8576923076923076,0.9549498760497417,0.8968938986735858,0.07204705795060601,1.3131966027531252,0.021093081632196198,0.12328459659100156
EFRGP01_00,crop04,272,0.9889705882352942,0.8602941176470589,0.9549682407480382,0.8937390994717992,0.0753766589463615,1.3744579089092122,0.02748359121258625,0.13033907102318257
EFRGP01_00,crop02,265,0.9811320754716981,0.8603773584905661,0.9536993216595676,0.892149146329564,0.0813606012593746,1.3709519810508661,0.0274725274725274,0.13282321533465488
EFRGP01_00,crop07,263,0.9847908745247148,0.8669201520912547,0.9507151741293532,0.8926024109720244,0.0753489045401338,1.2927748545885493,0.0307150462773363,0.130812239577858
EFRGP01_01,crop02,262,0.9847328244274809,0.8740458015267175,0.95581161618121,0.9006359920100457,0.07556644417549524,1.2706983469115471,0.0120800968430273,0.10674057020467018
EFRGP01_01,crop04,264,0.9848484848484849,0.8825757575757576,0.9551499885644799,0.9005195443310693,0.07262027249037185,1.2526385841597703,0.0213122503400366,0.11284705787717712
