scan,crop_id,method,n_valid_gt,recall_iou050,recall_iou075,mean_best_iou,median_best_iou,mean_centroid_error,median_centroid_error,mean_relative_volume_error,median_relative_volume_error
EFRGP01_00,crop02,BA-TOS,265,0.9811320754716981,0.8603773584905661,0.892149146329564,0.9536993216595677,1.3709519810508661,0.08136060125937464,0.1328232153346549,0.027472527472527472
EFRGP01_00,crop02,Min-tree-core+WS,265,0.06037735849056604,0.045283018867924525,0.21211977452587508,0.16093423029928514,30.507033638730167,26.079348765427785,6.861339712900998,4.734175152749491
EFRGP01_00,crop02,Otsu+WS,265,0.9622641509433962,0.7584905660377359,0.8452500223194871,0.9291338582677166,1.5232850813779013,0.37134227414751,0.12839631615305153,0.03316599456834828
EFRGP01_00,crop03,BA-TOS,216,0.9629629629629629,0.6759259259259259,0.7949892057939209,0.8749516349120892,1.729812145350292,0.13425899824419135,0.2733389995563837,0.11873623524347474
EFRGP01_00,crop03,Min-tree-core+WS,216,0.6435185185185185,0.4675925925925926,0.699691223460293,0.6528499449346028,38.122129259777324,13.214169666083047,0.5491089632890019,0.47961636363053545
EFRGP01_00,crop03,Otsu+WS,216,0.9768518518518519,0.7546296296296297,0.8179348435504116,0.8764266840646282,1.0805368634167087,0.12685115466522529,0.2052969842624719,0.1168642032598978
EFRGP01_00,crop04,BA-TOS,272,0.9889705882352942,0.8602941176470589,0.8937390994717992,0.9549682407480382,1.3744579089092122,0.07537665894636152,0.13033907102318262,0.02748359121258628
EFRGP01_00,crop04,Min-tree-core+WS,272,0.07720588235294118,0.058823529411764705,0.21033571975632873,0.14160767883797454,31.591140273456396,26.788248542367437,6.563895563580793,5.57088060554879
EFRGP01_00,crop04,Otsu+WS,272,0.9485294117647058,0.7941176470588235,0.8503603629075563,0.9272081840650426,1.5182598945940249,0.39648287540323746,0.12688522998554344,0.031035931027631667
EFRGP01_00,crop05,BA-TOS,129,0.8992248062015504,0.46511627906976744,0.7209189806493854,0.7256028241488661,2.3605873709755745,1.8346347641005274,0.4259459180635193,0.33718504252928905
EFRGP01_00,crop05,Min-tree-core+WS,129,0.9844961240310077,0.9612403100775194,0.9059025202185195,0.956742598618938,1.0550570488664939,0.17796199805608673,0.08134035188266459,0.00921957137080469
EFRGP01_00,crop05,Otsu+WS,129,0.9767441860465116,0.5193798449612403,0.7608466451709491,0.7701291478712229,1.4623389302231693,1.5609178512797128,0.30127531558143317,0.2729508847099897
EFRGP01_00,crop06,BA-TOS,271,0.974169741697417,0.8044280442804428,0.8480537374559716,0.9267003676470589,1.5743751817058786,0.09878442136320272,0.1995224864266032,0.057152108799481904
EFRGP01_00,crop06,Min-tree-core+WS,271,0.3874538745387454,0.23616236162361623,0.568458851209078,0.4870936121548767,49.73710522476689,60.462747327897965,0.9469946051118998,0.9721362229102167
EFRGP01_00,crop06,Otsu+WS,271,0.940959409594096,0.7859778597785978,0.8253029267596659,0.9098366824715888,1.4925789133912164,0.35469803075659306,0.15535779875473846,0.05945207680565598
EFRGP01_00,crop07,BA-TOS,263,0.9847908745247148,0.8669201520912547,0.8926024109720244,0.9507151741293532,1.2927748545885493,0.07534890454013385,0.13081223957785806,0.030715046277336393
EFRGP01_00,crop07,Min-tree-core+WS,263,0.14068441064638784,0.10646387832699619,0.3306418220958917,0.24912259097346223,31.560496428972424,24.795826499413373,4.14991138371151,2.722480620155039
EFRGP01_00,crop07,Otsu+WS,263,0.9505703422053232,0.8060836501901141,0.8572178403279673,0.9457364341085271,1.366051979783285,0.10086378948681216,0.12040592764789113,0.03270874424720579
EFRGP01_01,crop02,BA-TOS,262,0.9847328244274809,0.8740458015267175,0.9006359920100457,0.95581161618121,1.2706983469115471,0.0755664441754953,0.10674057020467023,0.012080096843027348
EFRGP01_01,crop02,Min-tree-core+WS,262,0.04198473282442748,0.030534351145038167,0.17827788532951497,0.11117334152054387,32.8962841842277,29.438246851562155,7.252227388673894,7.17933970384721
EFRGP01_01,crop02,Otsu+WS,262,0.950381679389313,0.7557251908396947,0.8370791788945939,0.9358293935084547,1.6666208558023612,0.30788045789271645,0.13088206559631518,0.02238012382314286
EFRGP01_01,crop03,BA-TOS,213,0.9624413145539906,0.7136150234741784,0.8019801492168784,0.881215073792807,1.7244724773984972,0.14068011116979656,0.26090112639496515,0.10444264943457189
EFRGP01_01,crop03,Min-tree-core+WS,213,0.6103286384976526,0.49765258215962443,0.6936454983829387,0.7120224786273689,36.69233908805248,5.214094642610355,0.5814802994684839,0.33276311502117956
EFRGP01_01,crop03,Otsu+WS,213,0.9859154929577465,0.7746478873239436,0.822241288045324,0.8810968921389397,1.1624602907898751,0.14068011116979656,0.19872206565906272,0.10194684546409241
EFRGP01_01,crop04,BA-TOS,264,0.9848484848484849,0.8825757575757576,0.9005195443310693,0.9551499885644799,1.2526385841597703,0.07262027249037191,0.11284705787717716,0.02131225034003663
EFRGP01_01,crop04,Min-tree-core+WS,264,0.07575757575757576,0.05303030303030303,0.20127130942558197,0.11194175685639914,30.76240272660191,26.964430303050115,8.12561864019702,7.280596040761543
EFRGP01_01,crop04,Otsu+WS,264,0.9507575757575758,0.7840909090909091,0.848257547468817,0.9286146926745236,1.5963107256004192,0.4302705084599858,0.1263559615473963,0.03136310261574187
EFRGP01_01,crop05,BA-TOS,128,0.9296875,0.46875,0.72333350714194,0.720506104281522,2.451811729852322,2.1151579746963427,0.40164163935526065,0.3397140533397498
EFRGP01_01,crop05,Min-tree-core+WS,128,1.0,0.96875,0.9006474285353598,0.9498585124928821,0.9699276233749737,0.1657523828405479,0.07351264937508965,0.017292113357020897
EFRGP01_01,crop05,Otsu+WS,128,0.9765625,0.53125,0.7583150927406015,0.7820221884223172,1.5813986082670068,1.4208222136951947,0.3022129073922971,0.25017112579861667
EFRGP01_01,crop06,BA-TOS,265,0.9773584905660377,0.8113207547169812,0.8583258693221596,0.9330442451859474,1.5182073357678625,0.08934066434785382,0.17620785487741653,0.043900858577676984
EFRGP01_01,crop06,Min-tree-core+WS,265,0.42641509433962266,0.25660377358490566,0.5804274225793871,0.486123545210385,49.55393023363728,60.04796795333903,0.900216100025407,0.9472721488786384
EFRGP01_01,crop06,Otsu+WS,265,0.9622641509433962,0.7924528301886793,0.8407424923414282,0.9141181710213777,1.3829040394718424,0.3249051420209249,0.14274140922777942,0.04439592430858806
EFRGP01_01,crop07,BA-TOS,260,0.9769230769230769,0.8576923076923076,0.8968938986735858,0.9549498760497416,1.3131966027531254,0.07204705795060605,0.12328459659100162,0.02109308163219623
EFRGP01_01,crop07,Min-tree-core+WS,260,0.18076923076923077,0.13846153846153847,0.3899649463234419,0.31668991471734964,38.29947885484694,28.70360623609678,2.355071952473613,1.9210006886044502
EFRGP01_01,crop07,Otsu+WS,260,0.9538461538461539,0.8307692307692308,0.8675974310885343,0.9485635424923621,1.284967252274582,0.11956672738918711,0.10406597477186652,0.02331178308771539
