method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
batos_distance_crop02,0.25,265,404,261,143,261,0,4,1.0,0.9849056603773585,0.9923954372623575,0.9849056603773585
batos_distance_crop02,0.5,265,404,261,143,260,1,5,0.9961685823754789,0.9811320754716981,0.9885931558935361,0.9849056603773585
