method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
otsu_ws_crop02,0.25,265,623,330,293,265,65,0,0.803030303030303,1.0,0.8907563025210083,1.2452830188679245
otsu_ws_crop02,0.5,265,623,330,293,255,75,10,0.7727272727272727,0.9622641509433962,0.8571428571428572,1.2452830188679245
