scan,crop_id,method,gt_valid,pred_labels,precision050,recall050,f1050,fp050,fn050,overseg_ratio
EFRGP01_00,crop02,BA-TOS,265,394,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
EFRGP01_00,crop03,BA-TOS,216,289,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
EFRGP01_00,crop04,BA-TOS,272,398,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
EFRGP01_00,crop05,BA-TOS,129,183,0.9133858267716536,0.8992248062015504,0.9062500000000001,11,13,0.9844961240310077
EFRGP01_00,crop06,BA-TOS,271,367,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
EFRGP01_00,crop07,BA-TOS,263,388,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
EFRGP01_00,crop02,Otsu+WS,265,623,0.7727272727272727,0.9622641509433962,0.8571428571428572,75,10,1.2452830188679245
EFRGP01_00,crop03,Otsu+WS,216,379,0.9377777777777778,0.9768518518518519,0.9569160997732427,14,5,1.0416666666666667
EFRGP01_00,crop04,Otsu+WS,272,613,0.7724550898203593,0.9485294117647058,0.8514851485148515,76,14,1.2279411764705883
EFRGP01_00,crop05,Otsu+WS,129,229,0.9767441860465116,0.9767441860465116,0.9767441860465116,3,3,1.0
EFRGP01_00,crop06,Otsu+WS,271,526,0.770392749244713,0.940959409594096,0.8471760797342193,76,16,1.2214022140221403
EFRGP01_00,crop07,Otsu+WS,263,599,0.78125,0.9505703422053232,0.8576329331046312,70,13,1.2167300380228137
EFRGP01_00,crop02,Macke-MinTree+WS,265,132,0.24615384615384617,0.06037735849056604,0.09696969696969698,49,249,0.24528301886792453
EFRGP01_00,crop03,Macke-MinTree+WS,216,250,0.7942857142857143,0.6435185185185185,0.710997442455243,36,77,0.8101851851851852
EFRGP01_00,crop04,Macke-MinTree+WS,272,127,0.3230769230769231,0.07720588235294118,0.12462908011869436,44,251,0.23897058823529413
EFRGP01_00,crop05,Macke-MinTree+WS,129,229,0.9921875,0.9844961240310077,0.9883268482490272,1,2,0.9922480620155039
EFRGP01_00,crop06,Macke-MinTree+WS,271,248,0.5898876404494382,0.3874538745387454,0.46770601336302897,73,166,0.6568265682656826
EFRGP01_00,crop07,Macke-MinTree+WS,263,183,0.39361702127659576,0.14068441064638784,0.20728291316526612,57,226,0.3574144486692015
EFRGP01_01,crop02,BA-TOS,262,405,1.0,0.9847328244274809,0.9923076923076923,0,4,0.9847328244274809
EFRGP01_01,crop02,Otsu+WS,262,634,0.7323529411764705,0.950381679389313,0.8272425249169434,91,13,1.297709923664122
EFRGP01_01,crop02,Macke-MinTree+WS,262,120,0.20754716981132076,0.04198473282442748,0.06984126984126983,42,251,0.20229007633587787
EFRGP01_01,crop03,BA-TOS,213,289,0.9715639810426541,0.9624413145539906,0.9669811320754718,6,8,0.9906103286384976
EFRGP01_01,crop03,Otsu+WS,213,364,0.9722222222222222,0.9859154929577465,0.979020979020979,6,3,1.0140845070422535
EFRGP01_01,crop03,Macke-MinTree+WS,213,250,0.7692307692307693,0.6103286384976526,0.680628272251309,39,83,0.7934272300469484
EFRGP01_01,crop04,BA-TOS,264,397,0.9961685823754789,0.9848484848484849,0.9904761904761905,1,4,0.9886363636363636
EFRGP01_01,crop04,Otsu+WS,264,610,0.7819314641744548,0.9507575757575758,0.8581196581196581,70,13,1.2159090909090908
EFRGP01_01,crop04,Macke-MinTree+WS,264,123,0.35714285714285715,0.07575757575757576,0.125,36,244,0.21212121212121213
EFRGP01_01,crop05,BA-TOS,128,187,0.937007874015748,0.9296875,0.9333333333333332,8,9,0.9921875
EFRGP01_01,crop05,Otsu+WS,128,226,0.9765625,0.9765625,0.9765625,3,3,1.0
EFRGP01_01,crop05,Macke-MinTree+WS,128,236,0.9922480620155039,1.0,0.9961089494163424,1,0,1.0078125
EFRGP01_01,crop06,BA-TOS,265,373,0.9923371647509579,0.9773584905660377,0.9847908745247149,2,6,0.9849056603773585
EFRGP01_01,crop06,Otsu+WS,265,536,0.8069620253164557,0.9622641509433962,0.8777969018932875,61,10,1.1924528301886792
EFRGP01_01,crop06,Macke-MinTree+WS,265,251,0.6312849162011173,0.42641509433962266,0.509009009009009,66,152,0.6754716981132075
EFRGP01_01,crop07,BA-TOS,260,390,1.0,0.9769230769230769,0.9883268482490272,0,6,0.9769230769230769
EFRGP01_01,crop07,Otsu+WS,260,597,0.8,0.9538461538461539,0.8701754385964914,62,12,1.1923076923076923
EFRGP01_01,crop07,Macke-MinTree+WS,260,203,0.41964285714285715,0.18076923076923077,0.25268817204301075,65,213,0.4307692307692308
