method,gt_valid,pred_labels,fg_dice,rec050_bestmatch,matched050_bestmatch,precision050_hungarian,recall050_hungarian,f1050_hungarian,fp050,fn050,overseg_ratio
Otsu + distance watershed,265,623,0.971960610249018,0.9622641509433962,255,0.7727272727272727,0.9622641509433962,0.8571428571428572,75,10,1.2452830188679245
BA-TOS + Macke-style watershed,265,82,0.9674260057237835,0.04905660377358491,13,,,,,,
BA-TOS + distance watershed,265,404,0.9728676517826089,0.9811320754716981,260,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
GT-mask oracle,265,404,0.9998759001839771,0.9886792452830189,262,,,,,,
