method,threshold,mean_precision,mean_recall,mean_f1,mean_overseg,total_fp,total_fn,n_crops
BA-TOS-LS-AUTO,0.25,0.9986616665733813,0.9974719427420068,0.9980594031836616,0.9988182054519891,3,8,12
BA-TOS-LS-AUTO,0.5,0.9876626951412848,0.9864330412047098,0.9870405378010797,0.9988182054519891,24,29,12
BA-TOS-LS-AUTO,0.75,0.7713747897940985,0.7699795656346602,0.770671288734737,0.9988182054519891,551,556,12
