threshold,gt_id,pred_id,iou
0.25,13381,7,0.5328777325097472
0.25,13382,13,0.8175255664728294
0.25,13385,11,0.49987677647252116
0.25,13386,12,0.48815933287454966
0.25,13387,14,0.7408296405711472
0.25,13393,20,0.701994501959408
0.25,13398,21,0.6998921496282
0.25,13399,15,0.537637265320581
0.25,13400,16,0.7453231292517006
0.25,13409,19,0.6738536965847679
0.25,13419,24,0.5935860058309038
0.25,13434,27,0.6524205949414073
0.25,13448,26,0.7814484572454936
0.25,13465,30,0.7267483349191246
0.25,13466,31,0.8366936880759371
0.25,13469,28,0.7107848871213007
0.25,13471,33,0.8399384916474453
0.25,13478,32,0.8428502046763339
0.25,13490,35,0.5899931526949036
0.25,13491,41,0.6782837415748808
0.25,13499,37,0.844157646405773
0.25,13500,38,0.7011749942961442
0.25,13504,39,0.8382605116949037
0.25,13509,40,0.8432015297411732
0.25,13510,42,0.5569292304895233
0.25,13523,43,0.8454877553781627
0.25,13527,44,0.8404048807542984
0.25,13541,46,0.834925434678029
0.25,13545,47,0.7156794827387137
0.25,13551,49,0.7137476459510358
0.25,13569,51,0.45915957566443005
0.25,13576,52,0.708454302636163
0.25,13597,63,0.8368784434060953
0.25,13598,58,0.6860280858969455
0.25,13604,56,0.7146285781185975
0.25,13605,53,0.838698487581518
0.25,13614,57,0.8450877312760292
0.25,13620,60,0.8490860138869208
0.25,13621,61,0.8350180005538632
0.25,13626,67,0.8526985458612976
0.25,13628,66,0.8435618902649968
0.25,13630,65,0.8403332650413167
0.25,13646,64,0.8399138050882803
0.25,13647,69,0.7256028241488661
0.25,13663,73,0.7041406430719408
0.25,13669,72,0.7255064565809738
0.25,13679,75,0.8485732139137679
0.25,13685,76,0.8239823245848955
0.25,13689,77,0.7195036700454387
0.25,13705,80,0.7170878247040113
0.25,13708,81,0.8371705963938973
0.25,13709,79,0.7174445740956826
0.25,13722,84,0.8347443044944594
0.25,13724,86,0.8348913847602394
0.25,13725,85,0.7106512691248021
0.25,20287,115,0.8482651840382855
0.25,20290,113,0.7052864462040056
0.25,20292,114,0.5311990387091237
0.25,20297,118,0.6824432539901696
0.25,20316,116,0.8338800054667214
0.25,20317,121,0.5789125920332263
0.25,20318,117,0.8443983402489627
0.25,20325,124,0.7211150652431791
0.25,20333,125,0.6686591719221278
0.25,20339,123,0.7115407010597414
0.25,20359,128,0.7221993531314319
0.25,20362,134,0.6201346358252772
0.25,20364,132,0.8416490341956181
0.25,20372,129,0.8390852680750192
0.25,20375,130,0.838036809815951
0.25,20376,131,0.842956437960223
0.25,20378,135,0.717229670394005
0.25,20392,136,0.7845725749045492
0.25,20417,137,0.5895571711830799
0.25,20418,138,0.6925863991081382
0.25,20420,139,0.8452290471913217
0.25,20424,140,0.8433335683564831
0.25,20434,144,0.8395963813500348
0.25,20442,142,0.7095033650498955
0.25,20443,146,0.528337639965547
0.25,20446,143,0.8431332095454233
0.25,20453,147,0.7195959833225674
0.25,20454,145,0.7206510919843082
0.25,20463,149,0.5262032085561498
0.25,20473,150,0.8481083344967193
0.25,20477,153,0.7398916967509025
0.25,20478,152,0.8398197460057354
0.25,20483,155,0.7196175021732831
0.25,20489,151,0.8416972381809372
0.25,20504,154,0.8198076141444248
0.25,20513,157,0.7701291478712229
0.25,20515,159,0.8098299183072184
0.25,20516,160,0.8420871243451888
0.25,20518,158,0.694755143436685
0.25,20527,162,0.7302317247969422
0.25,20529,163,0.6109629033069915
0.25,20547,165,0.6968279903093132
0.25,20556,164,0.7871583676525645
0.25,20557,166,0.4298916064480267
0.25,20562,171,0.8436814692982456
0.25,20563,172,0.6999535801322966
0.25,20575,168,0.6751415565671145
0.25,20577,174,0.8491494446787572
0.25,20578,173,0.8356758991318727
0.25,20603,179,0.5382793296089385
0.25,20607,183,0.8039111700364601
0.25,20611,182,0.5226908477435681
0.25,20616,178,0.49034075131897337
0.25,20620,180,0.4970824662341372
0.25,20635,185,0.5802759854942777
0.25,22165,87,0.8481875739233284
0.25,22175,92,0.8416031844073846
0.25,22176,88,0.8439098575971243
0.25,22186,91,0.7239551969167771
0.25,22193,89,0.7093138109348672
0.25,22197,93,0.8390670152745286
0.25,22201,90,0.5347008697180006
0.25,22215,95,0.7204796503042117
0.25,22220,96,0.57384025439581
0.25,22228,99,0.8447863247863248
0.25,22246,101,0.7032750839023261
0.25,22247,104,0.7610445468509984
0.25,22270,105,0.7090582231500812
0.25,22278,107,0.843300687643259
0.25,22283,106,0.7046121347259712
0.25,22288,108,0.8422299651567944
0.25,22289,111,0.8427672955974843
0.25,22291,109,0.7704815117082051
0.25,22318,112,0.8329674852517492
