method,mean_precision,mean_recall,F1@0.25,F1@0.50,F1@0.75,mean_overseg,total_fp,total_fn
Min-tree-core+WS,0.5596921063989119,0.3857492867305563,0.5830661257960214,0.43576563890682474,0.35411089625357683,0.5519016515521057,509,1914
Otsu+WS,0.8401148523755197,0.9613039087750058,0.9300919983830128,0.8946679422386393,0.6857325851183719,1.1554572631801643,607,115
BA-TOS,0.9802364930617423,0.9672702283677257,0.9927070273332786,0.97370508002391,0.7669461339308699,0.9868141019950039,39,77
