method,F1@0.25,F1@0.50,F1@0.75
Min-tree-core+WS,0.5830661257960214,0.43576563890682474,0.35411089625357683
Otsu+WS,0.9300919983830128,0.8946679422386393,0.6857325851183719
BA-TOS,0.9927070273332786,0.97370508002391,0.7669461339308699
