variant,mean_precision,mean_recall,mean_f1,std_f1,mean_overseg,total_tp,total_fp,total_fn,n
Full BA-TOS,0.9802364930617423,0.9672702283677257,0.97370508002391,0.027502797217034865,0.9868141019950039,2731,39,77,12
w/o boundary rejection,0.0,0.0,0.0,0.0,0.03414683585536745,0,102,2808,12
w/o size filter,0.8454604097318361,0.9672702283677257,0.8813921244470843,0.19308102496430155,1.3312263963235917,2731,618,77,12
w/o flattening,0.7046094561077102,0.6618440435988378,0.6719424328496896,0.46806367086673617,0.6883572733556224,2102,70,706,12
