method,threshold,mean_precision,mean_recall,mean_f1,total_tp,total_fp,total_fn,mean_overseg,n
BA-TOS,0.25,0.9993438320209974,0.9861681071629625,0.9927070273332786,2769,1,39,0.9868141019950039,12
BA-TOS,0.5,0.9802364930617423,0.9672702283677257,0.97370508002391,2731,39,77,0.9868141019950039,12
BA-TOS,0.75,0.7722162941938341,0.7617551268742465,0.7669461339308699,2226,544,582,0.9868141019950039,12
Min-tree-core+WS,0.25,0.7980392140202955,0.4999074288671362,0.5830661257960214,1239,164,1569,0.5519016515521057,12
Min-tree-core+WS,0.5,0.5596921063989119,0.3857492867305563,0.43576563890682474,894,509,1914,0.5519016515521057,12
Min-tree-core+WS,0.75,0.4437337059112954,0.3183831866068186,0.35411089625357683,701,702,2107,0.5519016515521057,12
Otsu+WS,0.25,0.8728711836369546,1.0,0.9300919983830128,2808,492,0,1.1554572631801643,12
Otsu+WS,0.5,0.8401148523755197,0.9613039087750058,0.8946679422386393,2693,607,115,1.1554572631801643,12
Otsu+WS,0.75,0.6407757596473476,0.7406346038223832,0.6857325851183719,2136,1164,672,1.1554572631801643,12
