method,scan,crop_id,threshold,gt,pred,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
EFRGP01_00_crop04_BA_TOS_LS_iou_0p75,EFRGP01_00,crop04,0.75,results_batos/EFRGP01_00_multicrop/crop04_x500_y500_z700_s200/00_input/crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop04/EFRGP01_00_crop04_batos_local_split_labels.tif,272,413,271,142,238,33,34,0.8782287822878229,0.875,0.876611418047882,0.9963235294117648
EFRGP01_01_crop04_BA_TOS_LS_iou_0p25,EFRGP01_01,crop04,0.25,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/00_input/EFRGP01_01_crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop04/EFRGP01_01_crop04_batos_local_split_labels.tif,264,414,262,152,262,0,2,1.0,0.9924242424242424,0.9961977186311788,0.9924242424242424
EFRGP01_01_crop04_BA_TOS_LS_iou_0p50,EFRGP01_01,crop04,0.5,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/00_input/EFRGP01_01_crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop04/EFRGP01_01_crop04_batos_local_split_labels.tif,264,414,262,152,262,0,2,1.0,0.9924242424242424,0.9961977186311788,0.9924242424242424
EFRGP01_01_crop04_BA_TOS_LS_iou_0p75,EFRGP01_01,crop04,0.75,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/00_input/EFRGP01_01_crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop04/EFRGP01_01_crop04_batos_local_split_labels.tif,264,414,262,152,236,26,28,0.900763358778626,0.8939393939393939,0.897338403041825,0.9924242424242424
EFRGP01_00_crop05_BA_TOS_LS_iou_0p25,EFRGP01_00,crop05,0.25,results_batos/EFRGP01_00_multicrop/crop05_x800_y900_z700_s200/00_input/crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop05/EFRGP01_00_crop05_batos_local_split_labels.tif,129,198,129,69,128,1,1,0.992248062015504,0.992248062015504,0.992248062015504,1.0
EFRGP01_00_crop05_BA_TOS_LS_iou_0p50,EFRGP01_00,crop05,0.5,results_batos/EFRGP01_00_multicrop/crop05_x800_y900_z700_s200/00_input/crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop05/EFRGP01_00_crop05_batos_local_split_labels.tif,129,198,129,69,120,9,9,0.9302325581395348,0.9302325581395348,0.9302325581395348,1.0
EFRGP01_00_crop05_BA_TOS_LS_iou_0p75,EFRGP01_00,crop05,0.75,results_batos/EFRGP01_00_multicrop/crop05_x800_y900_z700_s200/00_input/crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop05/EFRGP01_00_crop05_batos_local_split_labels.tif,129,198,129,69,63,66,66,0.4883720930232558,0.4883720930232558,0.4883720930232558,1.0
EFRGP01_01_crop05_BA_TOS_LS_iou_0p25,EFRGP01_01,crop05,0.25,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/00_input/EFRGP01_01_crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop05/EFRGP01_01_crop05_batos_local_split_labels.tif,128,200,127,73,127,0,1,1.0,0.9921875,0.996078431372549,0.9921875
EFRGP01_01_crop05_BA_TOS_LS_iou_0p50,EFRGP01_01,crop05,0.5,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/00_input/EFRGP01_01_crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop05/EFRGP01_01_crop05_batos_local_split_labels.tif,128,200,127,73,122,5,6,0.9606299212598424,0.953125,0.9568627450980391,0.9921875
EFRGP01_01_crop05_BA_TOS_LS_iou_0p75,EFRGP01_01,crop05,0.75,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/00_input/EFRGP01_01_crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop05/EFRGP01_01_crop05_batos_local_split_labels.tif,128,200,127,73,63,64,65,0.4960629921259842,0.4921875,0.4941176470588235,0.9921875
